,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
679,2010,4750262.0,2393679.84,33275408.0,2010-06-30
680,2010,7222.32,0.0,7222.32,2009-10-14
681,2010,27871.57,27871.57,27871.57,2010-08-25
682,2010,560000.0,560000.0,560000.0,2010-01-27
683,2010,309638.4,0.0,309638.4,2010-09-30
684,2010,236260.0,236260.0,236260.0,2010-08-06
685,2010,122709.0,122709.0,563691.0,2010-02-24
686,2010,3957302.0,3957302.0,3957302.0,2010-09-30
687,2010,292107.01,292107.01,292107.01,2010-06-30
688,2010,4517244.0,4517244.0,0.0,2010-09-07
689,2010,438412.23,438412.23,438412.23,2010-02-16
690,2010,4395.0,4395.0,4395.0,2010-02-03
691,2010,105379.23,105379.23,105379.23,2010-04-30
692,2010,51843.56,51843.56,51843.56,2010-06-15
693,2010,81900.0,81900.0,81900.0,2009-10-30
694,2010,18233.17,18233.17,18233.17,2009-10-27
695,2010,3257.35,3257.35,3257.35,2009-10-27
696,2010,138780.1,138780.1,277560.2,2009-12-11
697,2010,2419992.16,2419992.16,2419992.16,2009-12-30
698,2010,11952536.0,11952536.0,11952536.0,2009-10-30
699,2010,0.0,0.0,49372.5,2009-10-30
700,2010,80.44,80.44,80.44,2009-10-29
701,2010,438412.23,438412.23,438412.23,2010-02-12
702,2010,57700.76,57700.76,57700.76,2010-02-01
703,2011,9707469.0,9707469.0,9707469.0,2011-09-15
704,2011,29636.28,29636.28,29636.28,2011-06-22
705,2011,1696947.0,1696947.0,1696947.0,2011-09-30
706,2011,729489.0,729489.0,729489.0,2011-04-25
707,2011,197928.0,197928.0,197928.0,2011-06-14
708,2011,113754.8,113754.8,113754.8,2011-08-25
709,2011,155077.5,155077.5,0.0,2010-10-01
710,2011,1371.83,1371.83,0.0,2010-10-27
711,2011,28444.0,28444.0,28444.0,2011-09-08
712,2011,1567.8,1567.8,0.0,2010-12-22
713,2011,111506.85,111506.85,0.0,2010-10-14
714,2011,358101.58,358101.58,358101.58,2010-11-23
715,2011,2096926.76,2096926.76,2096926.76,2010-12-07
716,2011,1254.24,1254.24,0.0,2010-10-27
717,2011,157455.0,157455.0,157455.0,2011-08-08
718,2011,463261.21,463261.21,463261.21,2011-02-25
719,2011,169000.0,169000.0,169000.0,2011-07-06
720,2011,152424.4,152424.4,152424.4,2011-02-25
721,2011,81630.19,81630.19,81630.19,2010-11-18
722,2011,4092550.0,2910885.9,17323730.0,2011-06-02
723,2011,7717.96,7717.96,7717.96,2011-09-28
724,2011,449120.48,449120.48,449120.48,2011-08-31
725,2011,155775.0,155775.0,0.0,2010-10-08
726,2011,28489.33,28489.33,28489.33,2011-06-22
727,2011,54600.0,54600.0,54600.0,2011-08-26
728,2011,1595421.48,1595421.48,1595421.48,2010-12-07
729,2011,38083.2,19041.6,0.0,2010-12-15
730,2011,5002040.21,5002040.21,5002040.21,2011-09-22
731,2011,483286.51,483286.51,483286.51,2011-02-17
732,2011,1772043.0,1772043.0,1772043.0,2011-01-03
733,2011,1359166.0,1350428.32,7138600.8,2011-06-13
734,2011,42262.5,42262.5,42262.5,2011-04-13
735,2011,286235.03,286235.03,286235.03,2011-09-27
736,2011,244061.0,244061.0,244061.0,2011-09-12
737,2011,13620.0,0.0,13620.0,2010-11-16
738,2011,3048891.0,3048891.0,3048891.0,2011-02-15
739,2011,99569.0,99569.0,99569.0,2011-06-21
740,2011,9417.19,9417.19,9417.19,2011-09-16
741,2011,143352.0,143352.0,143352.0,2011-01-19
742,2011,207379.2,207379.2,207379.2,2011-05-11
743,2011,51794.24,51794.24,51794.24,2011-08-16
