,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
102,2009,10000.0,10000.0,10000.0,2009-07-31
103,2009,38049.36,38049.36,38049.36,2009-09-08
104,2009,4224.98,4224.98,4224.98,2009-08-12
105,2009,45000.0,45000.0,45000.0,2009-06-18
106,2009,41302.4,41302.4,0.0,2009-08-31
107,2009,524793.0,524793.0,524793.0,2009-05-05
108,2009,1569.25,1569.25,0.0,2009-07-16
109,2009,376000.0,376000.0,376000.0,2008-12-10
110,2009,54438.0,54438.0,54438.0,2008-10-23
111,2009,5420.99,5420.99,5420.99,2009-05-29
112,2009,261584.88,261584.88,261584.88,2009-09-29
113,2009,35535.52,35535.52,35535.52,2008-10-01
114,2009,14100.0,14100.0,14100.0,2009-09-03
115,2009,157000.0,157000.0,157000.0,2009-09-03
116,2009,172039.0,172039.0,172039.0,2009-09-02
117,2009,45000.0,45000.0,0.0,2009-07-19
118,2009,942.5,942.5,942.5,2009-01-13
119,2009,20014.59,20014.59,20014.59,2008-11-20
120,2009,0.0,0.0,0.0,2008-11-03
121,2009,21160.0,21160.0,21160.0,2009-07-17
122,2009,11036.18,11036.18,0.0,2009-08-07
123,2009,236633.36,236633.36,236633.36,2009-09-14
124,2009,130725.0,130725.0,130725.0,2008-11-18
125,2009,100000.0,100000.0,100000.0,2009-08-06
126,2009,10489.87,10489.87,0.0,2009-06-18
127,2009,593730.0,593730.0,0.0,2009-09-28
128,2009,700000.0,700000.0,700000.0,2009-01-26
129,2009,175000.0,175000.0,175000.0,2009-08-17
130,2009,9274.28,9274.28,0.0,2008-11-10
131,2009,13436.74,13436.74,13436.74,2008-10-14
132,2009,29017.38,29017.38,29017.38,2009-09-25
133,2009,20410.0,20410.0,20410.0,2009-09-21
134,2009,123948.04,123948.04,0.0,2009-05-04
135,2009,2661660.0,2661660.0,2661660.0,2009-09-03
136,2009,30000.0,30000.0,30000.0,2009-08-06
137,2009,172041.6,172041.6,172041.6,2009-07-28
138,2009,146504.0,146504.0,146504.0,2008-12-16
139,2009,76475.0,76475.0,0.0,2008-11-26
140,2009,1500000.0,1500000.0,1500000.0,2009-03-31
141,2009,776055.0,776055.0,0.0,2009-07-29
142,2009,323232.0,323232.0,323232.0,2009-09-29
143,2009,5558.26,5558.26,0.0,2009-02-05
144,2009,360000.0,360000.0,360000.0,2008-10-01
145,2009,32000.0,32000.0,0.0,2009-08-19
146,2009,76825.48,76825.48,0.0,2009-02-25
147,2009,3499994.0,3499994.0,3499994.0,2009-09-24
148,2009,244890.24,244890.24,244890.24,2008-12-20
149,2009,461855.16,461855.16,461855.16,2008-10-09
150,2009,28940.38,28940.38,28940.38,2009-09-18
151,2009,671485.39,671485.39,671485.39,2009-09-16
