,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
590,2009,29238.2,29238.2,29238.2,2009-09-28
591,2009,168367.97,168367.97,168367.97,2009-01-09
592,2009,44189.7,44189.7,44189.7,2009-04-24
593,2009,2546508.34,2546508.34,2546508.34,2009-09-28
594,2009,687280.0,687280.0,687280.0,2009-04-29
595,2009,142383.7,142383.7,142383.7,2009-09-24
596,2009,7562.87,7562.87,7562.87,2009-06-24
597,2009,38006.6,38006.6,38006.6,2009-05-26
598,2009,17199.28,17199.28,17199.28,2009-01-12
599,2009,13336.08,13336.08,13336.08,2009-05-06
600,2009,308196.57,308196.57,308196.57,2009-03-31
601,2009,156285.39,156285.39,156285.39,2009-09-23
602,2009,2850.0,2850.0,2850.0,2009-07-01
603,2009,4623.2,4623.2,4623.2,2009-06-18
604,2009,254623.95,254623.95,254623.95,2009-07-15
605,2009,44935.16,44935.16,44935.16,2009-08-13
606,2009,689848.75,689848.75,689848.75,2009-04-22
607,2009,252021.0,252021.0,756063.0,2009-08-24
608,2009,23347.71,23347.71,23347.71,2009-09-23
609,2009,32491.23,32491.23,32491.23,2009-09-25
610,2009,54265.04,54265.04,54265.04,2009-09-18
611,2009,455824.22,455824.22,2199234.38,2009-08-14
612,2009,4149.72,4149.72,4149.72,2009-09-08
613,2009,87724.4,87724.4,87724.4,2009-08-24
614,2009,64498.0,64498.0,64498.0,2009-07-24
615,2009,789906.6,789906.6,789906.6,2009-09-29
616,2009,11970.0,0.0,11970.0,2009-09-30
617,2009,19106.04,19106.04,19106.04,2009-04-21
618,2009,24000.0,24000.0,24000.0,2009-09-28
619,2009,30375.0,30375.0,30375.0,2009-08-12
620,2009,15678.0,15678.0,15678.0,2009-07-16
621,2009,56395.63,56395.63,56395.63,2009-05-06
622,2009,409087.43,409087.43,409087.43,2009-04-23
623,2009,17047.43,17047.43,18000.0,2009-04-21
624,2009,4664.31,4664.31,4664.31,2009-06-02
625,2009,1540313.6,1540313.6,1540313.6,2009-03-26
626,2009,12115.22,12115.22,0.0,2009-08-14
627,2009,90260.62,90260.62,95000.0,2009-07-20
628,2009,521222.34,521222.34,521222.34,2009-06-18
629,2009,146003.04,146003.04,455763.12,2009-09-16
630,2009,27502.84,27502.84,27502.84,2009-07-21
631,2009,358008.0,358008.0,477144.0,2009-04-17
632,2009,49590.5,49590.5,49590.5,2009-01-16
633,2009,0.0,0.0,0.0,2009-04-03
634,2009,5799.2,5799.2,5799.2,2009-05-20
635,2009,93260.0,93260.0,93260.0,2009-03-06
636,2009,104637.25,104637.25,104637.25,2009-09-14
637,2009,562597.48,562597.48,562597.48,2009-03-31
638,2009,23345.0,23345.0,23395.7,2009-06-08
639,2009,8876.56,8876.56,8876.56,2009-09-08
640,2009,1326136.26,1326136.26,1326136.26,2009-09-17
641,2009,1927044.03,1927044.03,1927044.03,2009-07-20
642,2009,132561.29,132561.29,132561.29,2009-03-02
643,2009,11724.0,11724.0,11724.0,2009-05-28
644,2009,29923.18,29923.18,29923.18,2009-08-05
645,2009,77092.28,77092.28,77092.28,2009-04-06
646,2009,349784.38,349784.38,349784.38,2009-09-26
647,2009,4177.93,4177.93,4177.93,2009-05-06
648,2009,107393.16,107393.16,107393.16,2009-07-10
649,2009,221910.0,221910.0,686640.0,2009-07-27
650,2009,1460336.19,1460336.19,4810116.55,2009-07-24
651,2009,8722.62,8722.62,8722.62,2009-09-16
652,2009,1590698.71,1590698.71,1590698.71,2009-09-23
653,2009,25907.56,25907.56,25907.56,2009-08-26
654,2009,13874.9,13874.9,13874.9,2009-03-18
655,2009,4093470.26,4093470.26,0.0,2009-09-22
656,2009,1099860.0,1099860.0,3117210.0,2009-09-28
657,2009,90753.87,90753.87,90753.87,2009-07-24
658,2009,305776.5,305776.5,305776.5,2009-06-23
659,2009,956312.54,956312.54,956312.54,2009-08-04
660,2009,4454.0,4454.0,4454.0,2009-08-06
661,2009,58480.0,58480.0,60000.0,2009-09-30
662,2009,45506.45,45506.45,45506.45,2009-09-17
663,2009,537943.62,537943.62,4647047.46,2009-03-25
664,2009,44756.6,44756.6,44756.6,2009-05-21
665,2009,209938.92,209938.92,209938.92,2009-05-19
666,2009,15962.1,15962.1,15962.1,2009-08-19
667,2009,312916.98,312916.98,312916.98,2009-09-14
668,2009,237380.07,237380.07,237380.07,2009-07-16
669,2009,10318767.5,10318767.5,10318767.5,2009-01-29
670,2009,97885.6,97885.6,97885.6,2009-06-08
671,2009,1290109.15,1000000.0,41727032.75,2009-09-29
672,2009,200000.0,199999.41,200000.0,2009-05-29
673,2009,63494.6,63494.6,63494.6,2009-05-07
674,2009,39805.01,39805.01,39805.01,2009-09-03
675,2009,14125.32,14125.32,0.0,2009-01-30
676,2009,387886.07,387886.07,387886.07,2009-09-18
677,2009,300326.33,300326.33,300326.33,2009-06-18
678,2009,8134.39,8134.39,8134.39,2009-01-06
679,2009,79700.0,79700.0,79700.0,2009-04-20
680,2009,497574.4,497574.4,497574.4,2009-08-25
681,2009,97099.79,97099.79,97099.79,2009-03-18
682,2009,6391.45,6391.45,8000.0,2009-07-08
683,2009,175965.5,175965.5,175965.5,2009-07-21
684,2009,35171.4,35171.4,35171.4,2009-03-11
685,2009,1307598.36,1307598.36,4041649.08,2009-03-27
686,2009,74916.85,74916.85,74916.85,2009-05-29
687,2009,139058.98,139058.98,139058.98,2009-06-25
688,2009,1488880.0,1488880.0,1488880.0,2009-01-30
689,2009,139806.43,139806.43,139806.43,2009-01-12
690,2009,264427.46,264427.46,434572.06,2009-09-23
691,2009,4584.31,4584.31,4584.31,2009-04-22
692,2009,17239.91,17239.91,17239.91,2009-05-22
693,2009,15932.54,15932.54,15932.54,2009-09-23
694,2009,153759.0,153759.0,153759.0,2009-06-18
695,2009,440984.56,440984.56,440984.56,2009-07-24
696,2009,699455.48,699455.48,699455.48,2009-06-29
697,2009,527333.04,527333.04,527333.04,2009-09-26
698,2009,49220.0,49220.0,49220.0,2009-09-30
699,2009,100615.15,100615.15,100615.15,2009-09-25
700,2009,12201.58,12201.58,15000.0,2009-06-10
701,2009,92173.96,92173.96,92173.96,2009-09-25
702,2009,145601.79,145601.79,145601.79,2009-09-04
703,2009,12680.52,12680.52,12680.52,2009-09-02
704,2009,16815.56,16815.56,16815.56,2009-08-10
705,2009,37500.0,37500.0,0.0,2009-06-02
706,2009,8450.0,8450.0,8450.0,2009-07-15
707,2009,1150528.0,1150528.0,1150528.0,2009-09-25
708,2009,820886.0,820886.0,820886.0,2009-04-30
709,2009,18835.35,18835.35,18835.35,2009-09-27
710,2009,965.0,965.0,965.0,2009-08-27
711,2009,153232.28,153232.28,153232.28,2009-09-22
712,2009,147578.6,147578.6,147578.6,2009-09-22
713,2009,7999.0,7999.0,7999.0,2009-03-24
714,2009,212794.11,212794.11,212794.11,2009-03-10
715,2009,94571.06,94571.06,94571.06,2009-09-22
716,2009,29379.62,29379.62,29379.62,2009-06-12
717,2009,61940.81,61940.81,61940.81,2009-06-17
718,2009,18694.08,18694.08,18694.08,2009-05-13
719,2009,205923.6,205923.6,205923.6,2009-09-11
720,2009,763600.0,763600.0,763600.0,2009-09-25
721,2009,156497.12,156497.12,156497.12,2009-09-23
722,2009,106895.16,106895.16,106895.16,2009-04-28
723,2009,783771.94,783771.94,783771.94,2009-09-30
724,2009,985566.4,985566.4,985566.4,2009-05-18
725,2009,91767.0,91767.0,91767.0,2009-07-31
726,2009,16439.4,16439.4,16439.4,2009-05-06
727,2009,118921.45,118921.45,118921.45,2009-01-28
728,2009,131995.48,131995.48,0.0,2009-02-09
729,2009,1277907.13,1277907.13,1277907.13,2009-05-06
730,2009,127624.43,127624.43,127624.43,2009-08-18
731,2009,2608499.0,2608499.0,2770499.0,2009-09-30
732,2009,7220.7,7220.7,7220.7,2009-05-22
733,2009,137612.45,137612.45,345986.25,2009-04-29
734,2009,213600.0,213600.0,213600.0,2009-02-25
735,2009,12249644.69,12249644.69,14291076.94,2009-09-25
736,2009,33591.0,33591.0,33591.0,2009-08-28
737,2009,30467.64,30467.64,30467.64,2009-04-27
738,2009,3695.95,3695.95,3695.95,2009-04-16
739,2009,882400.0,882400.0,1796159.0,2009-09-23
740,2009,4989.74,4989.74,4989.74,2009-09-24
741,2009,253446.45,253446.45,253446.45,2009-05-19
742,2009,48580.56,48580.56,48580.56,2009-05-26
743,2009,39247.75,39247.75,0.0,2009-02-04
744,2009,529027.84,529027.84,529027.84,2009-02-02
745,2009,2948.77,2948.77,2984.77,2009-09-30
746,2009,4784.69,4784.69,4784.69,2009-04-08
747,2009,38700.0,38700.0,0.0,2009-07-31
748,2009,5643769.48,5643769.48,5643769.48,2009-09-29
749,2009,180646.2,180646.19,180646.2,2009-09-03
750,2009,44255.89,44255.89,44255.89,2009-01-15
751,2009,9663.79,9663.79,9663.79,2009-09-24
752,2009,9000.0,9000.0,0.0,2009-04-08
