,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
160,2009,278404.32,278404.32,278404.32,2008-10-01
161,2009,20903.95,20903.95,20903.95,2008-12-19
162,2009,248578.4,248578.4,248578.4,2008-10-03
163,2009,5628.79,5628.79,5628.79,2008-12-30
164,2009,506544.0,506544.0,506544.0,2008-10-10
165,2009,4438.55,4438.55,4438.55,2008-10-01
166,2009,454470.08,454470.08,454470.08,2008-11-14
167,2009,6878.69,6878.69,6878.69,2008-10-17
168,2009,8090.0,8090.0,8090.0,2008-10-01
169,2009,497717.08,497717.08,497717.08,2008-10-28
170,2009,19305.45,19305.45,19305.45,2008-12-19
171,2009,4820.0,4820.0,4820.0,2008-11-13
172,2009,18759.93,18759.93,18759.93,2008-12-19
173,2009,152577.6,152577.6,152577.6,2008-12-30
174,2009,101740.0,101740.0,101740.0,2008-10-01
175,2009,24471.0,24471.0,24471.0,2008-11-18
176,2009,84886.14,84886.14,169772.28,2008-10-01
177,2009,64860.0,64860.0,64860.0,2008-12-01
178,2009,27793.28,27793.28,27793.28,2008-11-25
179,2009,114400.0,114400.0,114400.0,2008-10-21
180,2009,186612.0,186612.0,933060.0,2008-10-01
181,2009,5069.81,5069.81,5069.81,2008-11-20
182,2009,154867.2,154867.2,154867.2,2008-10-09
183,2009,474401.8,474401.8,474401.8,2008-10-01
184,2009,13000.0,13000.0,13000.0,2008-12-26
185,2009,360000.0,360000.0,360000.0,2008-10-01
186,2009,31343.4,31343.4,31343.4,2008-10-01
187,2009,52140.78,52140.78,52140.78,2008-12-18
188,2009,3000.0,3000.0,3000.0,2008-10-20
189,2009,908384.0,908384.0,908384.0,2008-10-16
190,2009,23096.4,23096.4,23096.4,2008-10-28
191,2009,84032.79,84032.79,84032.79,2008-10-01
192,2009,736999.92,736999.92,736999.92,2008-10-01
193,2009,101760.5,101760.5,101760.5,2008-12-16
194,2009,3600.0,3600.0,3600.0,2008-10-01
195,2009,3840.0,3840.0,3840.0,2008-11-24
196,2009,5916.5,5916.5,5916.5,2008-12-16
197,2009,42000.0,42000.0,42000.0,2008-11-18
198,2009,3238.75,3238.75,3238.75,2008-10-01
199,2009,30384.0,30384.0,167928.0,2008-10-01
200,2009,10490.0,10490.0,10490.0,2008-12-18
201,2009,198006.08,198006.08,256710.08,2008-12-10
202,2009,19255.58,19255.58,19255.58,2008-11-15
203,2009,34468.0,34468.0,34468.0,2008-10-01
204,2009,37598.0,37598.0,37598.0,2008-10-01
205,2009,2434412.04,2434412.04,2434412.04,2008-10-01
206,2009,139186.16,139186.16,139186.16,2008-10-01
207,2009,28333.97,28333.97,28333.97,2008-12-11
208,2009,148500.0,148500.0,148500.0,2008-10-01
209,2009,39805.39,39805.39,39805.39,2008-10-01
210,2009,2497635.1,2497635.1,2497635.1,2008-10-01
211,2009,51000.0,51000.0,51000.0,2008-11-22
212,2009,506544.0,506544.0,506544.0,2008-10-02
213,2009,102000.0,102000.0,102000.0,2008-10-28
214,2009,6036.23,6036.23,6036.23,2008-10-09
215,2009,22376.37,22376.37,22376.37,2008-11-24
216,2009,3528.0,3528.0,3528.0,2008-12-31
217,2009,275784.72,275784.72,275784.72,2008-10-01
218,2009,631311.36,631311.36,631311.36,2008-10-01
219,2009,490000.0,98808.0,490000.0,2008-11-03
220,2009,316399.5,316399.5,316399.5,2008-10-01
221,2009,39970.88,39970.88,39970.88,2008-10-01
222,2009,1295806.44,1295806.44,4000000.0,2008-10-30
223,2009,10550.51,10550.51,10550.51,2008-10-29
224,2009,534192.0,534192.0,534192.0,2008-11-10
225,2009,38242.53,38242.53,38242.53,2008-12-19
226,2009,486843.05,486843.05,486843.05,2008-12-16
227,2009,12048.0,12048.0,12048.0,2008-12-15
228,2009,81780.63,81780.63,81780.63,2008-11-24
229,2009,57324.0,57324.0,57324.0,2008-12-18
