,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
1619,2018,74880.0,74880.0,74880.0,2018-02-26
1620,2018,27860.0,27860.0,480999.0,2018-06-04
1621,2018,174934.06,174934.06,174934.06,2018-09-06
1622,2018,5052385.22,5052385.22,5052385.22,2018-03-13
1623,2018,375717.12,375717.12,375717.12,2018-03-26
1624,2018,39868.76,39868.76,39868.76,2018-09-20
1625,2018,331124.28,331124.28,331124.28,2018-09-13
1626,2018,129940.5,129940.5,129940.5,2018-09-24
1627,2018,343994.28,343994.28,343994.28,2018-09-10
1628,2018,300000.0,300000.0,300000.0,2018-07-03
1629,2018,2509.81,2509.81,2509.81,2018-09-11
1630,2018,37340.13,37340.13,37340.13,2018-09-11
1631,2018,39216.45,39216.45,39216.45,2018-09-27
1632,2018,150000.0,150000.0,150000.0,2018-03-29
1633,2018,3999953.76,3999953.76,3999953.76,2018-03-15
1634,2018,600071.67,600071.67,600071.67,2018-09-07
1635,2018,1121844.76,1121844.76,1121844.76,2018-07-25
1636,2018,93959.39,93959.39,93959.39,2018-07-09
1637,2018,405750.54,405750.54,405750.54,2018-09-19
1638,2018,472447.91,472447.91,472447.91,2018-09-06
1639,2018,1783877.24,1783877.24,9790647.44,2018-08-31
1640,2018,48362.0,48362.0,48362.0,2018-09-13
1641,2018,296800.27,296800.27,565608.97,2018-02-06
1642,2018,8506.8,8506.8,8506.8,2017-12-20
1643,2018,1815440.88,1815440.88,10639784.04,2018-03-19
1644,2018,2914113.33,2914113.33,2914113.33,2018-09-08
1645,2018,48227.8,48227.8,48227.8,2018-05-10
1646,2018,92168.0,92168.0,92168.0,2018-07-18
1647,2018,327667.2,327667.2,327667.2,2018-03-30
1648,2018,132175.68,132175.68,132175.68,2018-05-01
1649,2018,5583715.18,5583715.18,5583715.18,2018-09-30
1650,2018,326002.74,326002.74,326002.74,2018-07-31
1651,2018,26031.0,26031.0,26031.0,2018-06-14
1652,2018,240230.4,240230.4,240230.4,2018-04-19
1653,2018,1464530.11,1464530.11,1464530.11,2018-09-14
1654,2018,83383.14,83383.14,83383.14,2018-04-16
1655,2018,736630.03,736630.03,736630.03,2018-09-17
1656,2018,1999953.0,1999953.0,1999953.0,2018-06-26
1657,2018,952966.0,952966.0,952966.0,2018-08-14
1658,2018,194017.82,194017.82,590779.36,2018-08-21
1659,2018,1503381.85,1503381.85,1503381.85,2018-06-25
1660,2018,28600.0,28600.0,28600.0,2018-06-01
1661,2018,140111.02,140111.02,280241.22,2018-09-25
1662,2018,248941.2,248941.2,248941.2,2018-09-26
1663,2018,1951290.0,1951290.0,1951290.0,2018-08-09
1664,2018,318774.6,318774.6,1672482.4,2018-09-04
1665,2018,553545.78,553545.78,553545.78,2018-09-07
1666,2018,1160000.0,1160000.0,1160000.0,2018-09-18
1667,2018,519784.76,519784.76,519784.76,2017-11-13
1668,2018,3906102.76,3906102.76,3906102.76,2018-04-02
1669,2018,882835.51,882835.51,5297013.06,2018-05-17
1670,2018,485000.0,485000.0,485000.0,2018-09-12
1671,2018,98600.0,98600.0,98600.0,2018-06-26
1672,2018,3550001.26,3550001.26,3550001.26,2018-09-27
1673,2018,6221.66,6221.66,6221.66,2017-12-29
1674,2018,105876.48,105876.48,105876.48,2018-03-29
1675,2018,459962.42,459962.42,459962.42,2018-07-11
1676,2018,679098.58,679098.58,679098.58,2018-09-26
1677,2018,10451.48,10451.48,10451.48,2017-11-06
1678,2018,40000.0,40000.0,40000.0,2017-11-14
1679,2018,2612754.86,2612754.86,2612754.86,2018-06-19
1680,2018,2348050.08,2348050.08,2348050.08,2018-09-17
1681,2018,2098116.46,2098116.46,2098116.46,2018-09-18
1682,2018,27371.0,27371.0,27371.0,2018-05-31
1683,2018,1562479.0,1562479.0,1562479.0,2017-12-04
1684,2018,21600.0,21600.0,21600.0,2018-01-19
1685,2018,259200.0,259200.0,259200.0,2018-03-30
1686,2018,14014.95,14014.95,14014.95,2018-09-06
1687,2018,219957.15,219957.15,219957.15,2018-09-06
1688,2018,34980.0,34980.0,34980.0,2018-09-24
1689,2018,75086.9,75086.9,75086.9,2018-07-24
1690,2018,102079.68,102079.68,102079.68,2018-07-05
1691,2018,657681.56,657681.56,657681.56,2018-03-15
1692,2018,1537032.1,1537032.1,1537032.1,2018-07-05
1693,2018,191418.71,191418.71,191418.71,2018-09-09
1694,2018,749866.13,749866.13,749866.13,2018-09-17
1695,2018,477778.68,477778.68,477778.68,2018-08-09
1696,2018,44258.9,44258.9,44258.9,2018-06-11
1697,2018,69086.0,69086.0,69086.0,2017-11-21
1698,2018,143197.5,143197.5,143197.5,2018-09-25
1699,2018,5123.34,5123.34,5123.34,2018-07-02
1700,2018,219800.0,219800.0,717960.0,2018-09-11
1701,2018,1974911.54,1974911.54,1974911.54,2018-09-11
1702,2018,13703.8,13703.8,13703.8,2018-04-13
1703,2018,838634.52,838634.52,838634.52,2018-09-07
